epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,1700.77,0.47583,0.32596,0.00561,0.9847,0.95455,0.98545,0.86255,0.53025,0.25362,0.0097,0.000254791,0.000254791,0.000254791
168,1710.79,0.46652,0.3272,0.00546,0.99082,0.93735,0.98555,0.86686,0.52644,0.27044,0.00965,0.000247717,0.000247717,0.000247717
169,1720.58,0.46807,0.3459,0.00566,0.97836,0.90152,0.98644,0.87194,0.51972,0.27635,0.00947,0.000240644,0.000240644,0.000240644
170,1730.26,0.44239,0.30605,0.00538,0.95177,0.9319,0.98651,0.87188,0.52459,0.27333,0.00953,0.00023357,0.00023357,0.00023357
171,1740.07,0.4597,0.31564,0.00529,0.97532,0.92424,0.98882,0.87431,0.51902,0.25723,0.00949,0.000226497,0.000226497,0.000226497
172,1750.06,0.453,0.31435,0.00533,0.96265,0.95274,0.98906,0.87362,0.51146,0.25567,0.0094,0.000219423,0.000219423,0.000219423
173,1760.05,0.45384,0.33151,0.00537,0.96507,0.96046,0.98985,0.87099,0.51051,0.24456,0.00935,0.000212349,0.000212349,0.000212349
174,1769.98,0.45187,0.31715,0.00573,0.9663,0.97121,0.99054,0.87364,0.5096,0.23996,0.00932,0.000205276,0.000205276,0.000205276
175,1780.15,0.46141,0.3279,0.00555,0.99404,0.95932,0.99126,0.87572,0.50403,0.21782,0.00916,0.000198202,0.000198202,0.000198202
176,1790.16,0.47798,0.33173,0.00557,0.98958,0.9834,0.99454,0.88103,0.5158,0.22212,0.00933,0.000191129,0.000191129,0.000191129
177,1800.17,0.45346,0.31165,0.00524,0.99532,0.9766,0.9946,0.87224,0.5233,0.21451,0.00947,0.000184055,0.000184055,0.000184055
178,1812.41,0.47579,0.35617,0.0053,0.99374,0.95798,0.99311,0.88649,0.50086,0.21937,0.00918,0.000176982,0.000176982,0.000176982
179,1822.41,0.46412,0.31386,0.00522,0.96202,0.97882,0.99283,0.87418,0.50609,0.22254,0.00932,0.000169908,0.000169908,0.000169908
180,1832.32,0.49373,0.34193,0.00568,0.95998,0.96752,0.99403,0.87508,0.51436,0.22742,0.0095,0.000162835,0.000162835,0.000162835
